iso2,iso3,year,cases,case_type,sex,age_group,country
AF,AFG,2000,183,new_sp,m,2534,Afghanistan
AF,AFG,2001,349,new_sp,m,2534,Afghanistan
AF,AFG,2002,481,new_sp,m,2534,Afghanistan
AF,AFG,2003,436,new_sp,m,2534,Afghanistan
AF,AFG,2004,568,new_sp,m,2534,Afghanistan
AF,AFG,2005,560,new_sp,m,2534,Afghanistan
AF,AFG,2006,791,new_sp,m,2534,Afghanistan
AF,AFG,2007,840,new_sp,m,2534,Afghanistan
AF,AFG,2008,773,new_sp,m,2534,Afghanistan
AF,AFG,2009,705,new_sp,m,2534,Afghanistan
AF,AFG,2010,819,new_sp,m,2534,Afghanistan
AF,AFG,2011,895,new_sp,m,2534,Afghanistan
AF,AFG,2012,801,new_sp,m,2534,Afghanistan
IN,IND,2000,31090,new_sp,m,2534,India
IN,IND,2001,30007,new_sp,m,2534,India
IN,IND,2002,54719,new_sp,m,2534,India
IN,IND,2003,61758,new_sp,m,2534,India
IN,IND,2004,72132,new_sp,m,2534,India
IN,IND,2005,74678,new_sp,m,2534,India
IN,IND,2006,79037,new_sp,m,2534,India
IN,IND,2007,83850,new_sp,m,2534,India
IN,IND,2008,83798,new_sp,m,2534,India
IN,IND,2009,84003,new_sp,m,2534,India
IN,IND,2010,82757,new_sp,m,2534,India
IN,IND,2011,82762,new_sp,m,2534,India
IN,IND,2012,79594,new_sp,m,2534,India
NO,NOR,2000,9,new_sp,m,2534,Norway
NO,NOR,2001,8,new_sp,m,2534,Norway
NO,NOR,2002,4,new_sp,m,2534,Norway
NO,NOR,2003,3,new_sp,m,2534,Norway
NO,NOR,2004,6,new_sp,m,2534,Norway
NO,NOR,2005,4,new_sp,m,2534,Norway
NO,NOR,2006,10,new_sp,m,2534,Norway
NO,NOR,2007,12,new_sp,m,2534,Norway
NO,NOR,2008,8,new_sp,m,2534,Norway
NO,NOR,2009,14,new_sp,m,2534,Norway
NO,NOR,2010,9,new_sp,m,2534,Norway
NO,NOR,2011,7,new_sp,m,2534,Norway
NO,NOR,2012,15,new_sp,m,2534,Norway
AF,AFG,1997,3,new_sp,m,3544,Afghanistan
AF,AFG,1998,90,new_sp,m,3544,Afghanistan
AF,AFG,1999,47,new_sp,m,3544,Afghanistan
IN,IND,1995,287,new_sp,m,3544,India
IN,IND,1996,934,new_sp,m,3544,India
IN,IND,1997,1056,new_sp,m,3544,India
IN,IND,1998,1851,new_sp,m,3544,India
IN,IND,1999,7900,new_sp,m,3544,India
NO,NOR,1995,6,new_sp,m,3544,Norway
NO,NOR,1996,14,new_sp,m,3544,Norway
NO,NOR,1997,7,new_sp,m,3544,Norway
NO,NOR,1998,3,new_sp,m,3544,Norway
NO,NOR,1999,3,new_sp,m,3544,Norway
IN,IND,2000,30829,new_sp,m,3544,India
NO,NOR,2000,3,new_sp,m,3544,Norway
AF,AFG,2000,149,new_sp,m,3544,Afghanistan
AF,AFG,2001,274,new_sp,m,3544,Afghanistan
AF,AFG,2002,368,new_sp,m,3544,Afghanistan
AF,AFG,2003,284,new_sp,m,3544,Afghanistan
AF,AFG,2004,360,new_sp,m,3544,Afghanistan
AF,AFG,2005,472,new_sp,m,3544,Afghanistan
AF,AFG,2006,574,new_sp,m,3544,Afghanistan
AF,AFG,2007,597,new_sp,m,3544,Afghanistan
AF,AFG,2008,545,new_sp,m,3544,Afghanistan
AF,AFG,2009,499,new_sp,m,3544,Afghanistan
AF,AFG,2010,491,new_sp,m,3544,Afghanistan
AF,AFG,2011,613,new_sp,m,3544,Afghanistan
AF,AFG,2012,586,new_sp,m,3544,Afghanistan
IN,IND,2000,30829,new_sp,m,3544,India
IN,IND,2001,29649,new_sp,m,3544,India
IN,IND,2002,55829,new_sp,m,3544,India
IN,IND,2003,63587,new_sp,m,3544,India
IN,IND,2004,74450,new_sp,m,3544,India
IN,IND,2005,76870,new_sp,m,3544,India
IN,IND,2006,82939,new_sp,m,3544,India
IN,IND,2007,88045,new_sp,m,3544,India
IN,IND,2008,90498,new_sp,m,3544,India
IN,IND,2009,90830,new_sp,m,3544,India
IN,IND,2010,90440,new_sp,m,3544,India
IN,IND,2011,89706,new_sp,m,3544,India
IN,IND,2012,88111,new_sp,m,3544,India
NO,NOR,2000,3,new_sp,m,3544,Norway
NO,NOR,2001,8,new_sp,m,3544,Norway
NO,NOR,2002,4,new_sp,m,3544,Norway
NO,NOR,2003,4,new_sp,m,3544,Norway
NO,NOR,2004,6,new_sp,m,3544,Norway
NO,NOR,2005,6,new_sp,m,3544,Norway
NO,NOR,2006,5,new_sp,m,3544,Norway
NO,NOR,2007,2,new_sp,m,3544,Norway
NO,NOR,2008,7,new_sp,m,3544,Norway
NO,NOR,2009,5,new_sp,m,3544,Norway
NO,NOR,2010,7,new_sp,m,3544,Norway
NO,NOR,2011,3,new_sp,m,3544,Norway
NO,NOR,2012,5,new_sp,m,3544,Norway
AF,AFG,1997,5,new_sp,m,4554,Afghanistan
AF,AFG,1998,89,new_sp,m,4554,Afghanistan
AF,AFG,1999,34,new_sp,m,4554,Afghanistan
IN,IND,1995,216,new_sp,m,4554,India
IN,IND,1996,666,new_sp,m,4554,India
IN,IND,1997,753,new_sp,m,4554,India
IN,IND,1998,1389,new_sp,m,4554,India
IN,IND,1999,6172,new_sp,m,4554,India
NO,NOR,1995,3,new_sp,m,4554,Norway
NO,NOR,1996,6,new_sp,m,4554,Norway
NO,NOR,1997,6,new_sp,m,4554,Norway
NO,NOR,1998,1,new_sp,m,4554,Norway
NO,NOR,1999,2,new_sp,m,4554,Norway
IN,IND,2000,24230,new_sp,m,4554,India
NO,NOR,2000,6,new_sp,m,4554,Norway
AF,AFG,2000,129,new_sp,m,4554,Afghanistan
AF,AFG,2001,204,new_sp,m,4554,Afghanistan
AF,AFG,2002,246,new_sp,m,4554,Afghanistan
AF,AFG,2003,256,new_sp,m,4554,Afghanistan
AF,AFG,2004,358,new_sp,m,4554,Afghanistan
AF,AFG,2005,453,new_sp,m,4554,Afghanistan
AF,AFG,2006,572,new_sp,m,4554,Afghanistan
AF,AFG,2007,566,new_sp,m,4554,Afghanistan
AF,AFG,2008,570,new_sp,m,4554,Afghanistan
AF,AFG,2009,491,new_sp,m,4554,Afghanistan
AF,AFG,2010,490,new_sp,m,4554,Afghanistan
AF,AFG,2011,570,new_sp,m,4554,Afghanistan
AF,AFG,2012,521,new_sp,m,4554,Afghanistan
IN,IND,2000,24230,new_sp,m,4554,India
IN,IND,2001,23961,new_sp,m,4554,India
IN,IND,2002,44532,new_sp,m,4554,India
IN,IND,2003,52865,new_sp,m,4554,India
IN,IND,2004,62173,new_sp,m,4554,India
IN,IND,2005,64843,new_sp,m,4554,India
IN,IND,2006,71621,new_sp,m,4554,India
IN,IND,2007,76408,new_sp,m,4554,India
IN,IND,2008,78815,new_sp,m,4554,India
IN,IND,2009,80097,new_sp,m,4554,India
IN,IND,2010,81210,new_sp,m,4554,India
IN,IND,2011,82921,new_sp,m,4554,India
IN,IND,2012,82356,new_sp,m,4554,India
NO,NOR,2000,6,new_sp,m,4554,Norway
NO,NOR,2001,4,new_sp,m,4554,Norway
NO,NOR,2002,2,new_sp,m,4554,Norway
NO,NOR,2003,4,new_sp,m,4554,Norway
NO,NOR,2004,1,new_sp,m,4554,Norway
NO,NOR,2005,4,new_sp,m,4554,Norway
NO,NOR,2006,3,new_sp,m,4554,Norway
NO,NOR,2007,3,new_sp,m,4554,Norway
NO,NOR,2008,2,new_sp,m,4554,Norway
NO,NOR,2009,1,new_sp,m,4554,Norway
NO,NOR,2010,1,new_sp,m,4554,Norway
NO,NOR,2011,3,new_sp,m,4554,Norway
NO,NOR,2012,8,new_sp,m,4554,Norway
AF,AFG,1997,2,new_sp,m,5564,Afghanistan
AF,AFG,1998,64,new_sp,m,5564,Afghanistan
AF,AFG,1999,21,new_sp,m,5564,Afghanistan
IN,IND,1995,123,new_sp,m,5564,India
IN,IND,1996,424,new_sp,m,5564,India
IN,IND,1997,499,new_sp,m,5564,India
IN,IND,1998,885,new_sp,m,5564,India
IN,IND,1999,3864,new_sp,m,5564,India
NO,NOR,1995,5,new_sp,m,5564,Norway
NO,NOR,1996,2,new_sp,m,5564,Norway
NO,NOR,1997,2,new_sp,m,5564,Norway
NO,NOR,1998,2,new_sp,m,5564,Norway
NO,NOR,1999,1,new_sp,m,5564,Norway
IN,IND,2000,15308,new_sp,m,5564,India
NO,NOR,2000,2,new_sp,m,5564,Norway
AF,AFG,2000,94,new_sp,m,5564,Afghanistan
AF,AFG,2001,139,new_sp,m,5564,Afghanistan
AF,AFG,2002,241,new_sp,m,5564,Afghanistan
AF,AFG,2003,288,new_sp,m,5564,Afghanistan
AF,AFG,2004,386,new_sp,m,5564,Afghanistan
AF,AFG,2005,470,new_sp,m,5564,Afghanistan
AF,AFG,2006,572,new_sp,m,5564,Afghanistan
AF,AFG,2007,630,new_sp,m,5564,Afghanistan
AF,AFG,2008,630,new_sp,m,5564,Afghanistan
AF,AFG,2009,596,new_sp,m,5564,Afghanistan
AF,AFG,2010,641,new_sp,m,5564,Afghanistan
AF,AFG,2011,700,new_sp,m,5564,Afghanistan
AF,AFG,2012,585,new_sp,m,5564,Afghanistan
IN,IND,2000,15308,new_sp,m,5564,India
IN,IND,2001,14879,new_sp,m,5564,India
IN,IND,2002,28199,new_sp,m,5564,India
IN,IND,2003,33739,new_sp,m,5564,India
IN,IND,2004,40769,new_sp,m,5564,India
IN,IND,2005,43038,new_sp,m,5564,India
IN,IND,2006,49320,new_sp,m,5564,India
IN,IND,2007,53414,new_sp,m,5564,India
IN,IND,2008,56928,new_sp,m,5564,India
IN,IND,2009,59163,new_sp,m,5564,India
IN,IND,2010,60766,new_sp,m,5564,India
IN,IND,2011,63625,new_sp,m,5564,India
IN,IND,2012,63814,new_sp,m,5564,India
NO,NOR,2000,2,new_sp,m,5564,Norway
NO,NOR,2001,1,new_sp,m,5564,Norway
NO,NOR,2002,0,new_sp,m,5564,Norway
NO,NOR,2003,2,new_sp,m,5564,Norway
NO,NOR,2004,1,new_sp,m,5564,Norway
NO,NOR,2005,4,new_sp,m,5564,Norway
NO,NOR,2006,3,new_sp,m,5564,Norway
NO,NOR,2007,1,new_sp,m,5564,Norway
NO,NOR,2008,4,new_sp,m,5564,Norway
NO,NOR,2009,2,new_sp,m,5564,Norway
NO,NOR,2010,4,new_sp,m,5564,Norway
NO,NOR,2011,1,new_sp,m,5564,Norway
NO,NOR,2012,5,new_sp,m,5564,Norway
AF,AFG,1997,0,new_sp,m,65,Afghanistan
AF,AFG,1998,41,new_sp,m,65,Afghanistan
AF,AFG,1999,8,new_sp,m,65,Afghanistan
IN,IND,1995,68,new_sp,m,65,India
IN,IND,1996,213,new_sp,m,65,India
IN,IND,1997,245,new_sp,m,65,India
IN,IND,1998,419,new_sp,m,65,India
IN,IND,1999,1982,new_sp,m,65,India
NO,NOR,1995,12,new_sp,m,65,Norway
NO,NOR,1996,24,new_sp,m,65,Norway
NO,NOR,1997,27,new_sp,m,65,Norway
NO,NOR,1998,17,new_sp,m,65,Norway
NO,NOR,1999,1,new_sp,m,65,Norway
IN,IND,2000,8534,new_sp,m,65,India
NO,NOR,2000,4,new_sp,m,65,Norway
AF,AFG,2000,80,new_sp,m,65,Afghanistan
AF,AFG,2001,103,new_sp,m,65,Afghanistan
AF,AFG,2002,189,new_sp,m,65,Afghanistan
AF,AFG,2003,203,new_sp,m,65,Afghanistan
AF,AFG,2004,310,new_sp,m,65,Afghanistan
AF,AFG,2005,419,new_sp,m,65,Afghanistan
AF,AFG,2006,410,new_sp,m,65,Afghanistan
AF,AFG,2007,507,new_sp,m,65,Afghanistan
AF,AFG,2008,575,new_sp,m,65,Afghanistan
AF,AFG,2009,570,new_sp,m,65,Afghanistan
AF,AFG,2010,622,new_sp,m,65,Afghanistan
AF,AFG,2011,692,new_sp,m,65,Afghanistan
AF,AFG,2012,651,new_sp,m,65,Afghanistan
IN,IND,2000,8534,new_sp,m,65,India
IN,IND,2001,7779,new_sp,m,65,India
IN,IND,2002,14960,new_sp,m,65,India
IN,IND,2003,18018,new_sp,m,65,India
IN,IND,2004,22388,new_sp,m,65,India
IN,IND,2005,24726,new_sp,m,65,India
IN,IND,2006,28716,new_sp,m,65,India
IN,IND,2007,31922,new_sp,m,65,India
IN,IND,2008,36079,new_sp,m,65,India
IN,IND,2009,37419,new_sp,m,65,India
IN,IND,2010,38442,new_sp,m,65,India
IN,IND,2011,42443,new_sp,m,65,India
IN,IND,2012,41322,new_sp,m,65,India
NO,NOR,2000,4,new_sp,m,65,Norway
NO,NOR,2001,8,new_sp,m,65,Norway
NO,NOR,2002,4,new_sp,m,65,Norway
NO,NOR,2003,2,new_sp,m,65,Norway
NO,NOR,2004,2,new_sp,m,65,Norway
NO,NOR,2005,3,new_sp,m,65,Norway
NO,NOR,2006,1,new_sp,m,65,Norway
NO,NOR,2007,2,new_sp,m,65,Norway
NO,NOR,2008,3,new_sp,m,65,Norway
NO,NOR,2009,0,new_sp,m,65,Norway
NO,NOR,2010,2,new_sp,m,65,Norway
NO,NOR,2011,1,new_sp,m,65,Norway
NO,NOR,2012,2,new_sp,m,65,Norway
AF,AFG,1997,5,new_sp,f,014,Afghanistan
AF,AFG,1998,45,new_sp,f,014,Afghanistan
AF,AFG,1999,25,new_sp,f,014,Afghanistan
IN,IND,1995,32,new_sp,f,014,India
IN,IND,1996,79,new_sp,f,014,India
IN,IND,1997,125,new_sp,f,014,India
IN,IND,1998,190,new_sp,f,014,India
IN,IND,1999,785,new_sp,f,014,India
NO,NOR,1995,0,new_sp,f,014,Norway
NO,NOR,1996,1,new_sp,f,014,Norway
NO,NOR,1997,0,new_sp,f,014,Norway
NO,NOR,1998,0,new_sp,f,014,Norway
NO,NOR,1999,0,new_sp,f,014,Norway
IN,IND,2000,2250,new_sp,f,014,India
NO,NOR,2000,1,new_sp,f,014,Norway
AF,AFG,2000,93,new_sp,f,014,Afghanistan
AF,AFG,2001,146,new_sp,f,014,Afghanistan
AF,AFG,2002,192,new_sp,f,014,Afghanistan
AF,AFG,2003,245,new_sp,f,014,Afghanistan
AF,AFG,2004,256,new_sp,f,014,Afghanistan
AF,AFG,2005,320,new_sp,f,014,Afghanistan
AF,AFG,2006,442,new_sp,f,014,Afghanistan
AF,AFG,2007,475,new_sp,f,014,Afghanistan
AF,AFG,2008,428,new_sp,f,014,Afghanistan
AF,AFG,2009,439,new_sp,f,014,Afghanistan
AF,AFG,2010,445,new_sp,f,014,Afghanistan
AF,AFG,2011,465,new_sp,f,014,Afghanistan
AF,AFG,2012,400,new_sp,f,014,Afghanistan
IN,IND,2000,2250,new_sp,f,014,India
IN,IND,2001,2125,new_sp,f,014,India
IN,IND,2002,4200,new_sp,f,014,India
IN,IND,2003,4745,new_sp,f,014,India
IN,IND,2004,5860,new_sp,f,014,India
IN,IND,2005,6292,new_sp,f,014,India
IN,IND,2006,6963,new_sp,f,014,India
IN,IND,2007,7575,new_sp,f,014,India
IN,IND,2008,8319,new_sp,f,014,India
IN,IND,2009,8576,new_sp,f,014,India
IN,IND,2010,8544,new_sp,f,014,India
IN,IND,2011,8336,new_sp,f,014,India
IN,IND,2012,8260,new_sp,f,014,India
NO,NOR,2000,1,new_sp,f,014,Norway
NO,NOR,2001,1,new_sp,f,014,Norway
NO,NOR,2002,0,new_sp,f,014,Norway
NO,NOR,2003,0,new_sp,f,014,Norway
NO,NOR,2004,0,new_sp,f,014,Norway
NO,NOR,2005,0,new_sp,f,014,Norway
NO,NOR,2006,1,new_sp,f,014,Norway
NO,NOR,2007,1,new_sp,f,014,Norway
NO,NOR,2008,0,new_sp,f,014,Norway
NO,NOR,2009,1,new_sp,f,014,Norway
NO,NOR,2010,0,new_sp,f,014,Norway
NO,NOR,2011,0,new_sp,f,014,Norway
NO,NOR,2012,0,new_sp,f,014,Norway
AF,AFG,1997,38,new_sp,f,1524,Afghanistan
AF,AFG,1998,350,new_sp,f,1524,Afghanistan
AF,AFG,1999,139,new_sp,f,1524,Afghanistan
IN,IND,1995,179,new_sp,f,1524,India
IN,IND,1996,618,new_sp,f,1524,India
IN,IND,1997,861,new_sp,f,1524,India
IN,IND,1998,1375,new_sp,f,1524,India
IN,IND,1999,5497,new_sp,f,1524,India
NO,NOR,1995,4,new_sp,f,1524,Norway
NO,NOR,1996,4,new_sp,f,1524,Norway
NO,NOR,1997,3,new_sp,f,1524,Norway
NO,NOR,1998,8,new_sp,f,1524,Norway
NO,NOR,1999,3,new_sp,f,1524,Norway
IN,IND,2000,14495,new_sp,f,1524,India
NO,NOR,2000,3,new_sp,f,1524,Norway
AF,AFG,2000,414,new_sp,f,1524,Afghanistan
AF,AFG,2001,799,new_sp,f,1524,Afghanistan
AF,AFG,2002,1119,new_sp,f,1524,Afghanistan
AF,AFG,2003,1152,new_sp,f,1524,Afghanistan
AF,AFG,2004,1360,new_sp,f,1524,Afghanistan
AF,AFG,2005,1651,new_sp,f,1524,Afghanistan
AF,AFG,2006,2139,new_sp,f,1524,Afghanistan
AF,AFG,2007,2224,new_sp,f,1524,Afghanistan
AF,AFG,2008,2094,new_sp,f,1524,Afghanistan
AF,AFG,2009,2173,new_sp,f,1524,Afghanistan
AF,AFG,2010,2107,new_sp,f,1524,Afghanistan
AF,AFG,2011,2167,new_sp,f,1524,Afghanistan
AF,AFG,2012,2280,new_sp,f,1524,Afghanistan
IN,IND,2000,14495,new_sp,f,1524,India
IN,IND,2001,15973,new_sp,f,1524,India
IN,IND,2002,28573,new_sp,f,1524,India
IN,IND,2003,34511,new_sp,f,1524,India
IN,IND,2004,41017,new_sp,f,1524,India
IN,IND,2005,45136,new_sp,f,1524,India
IN,IND,2006,47702,new_sp,f,1524,India
IN,IND,2007,50289,new_sp,f,1524,India
IN,IND,2008,51485,new_sp,f,1524,India
IN,IND,2009,51945,new_sp,f,1524,India
IN,IND,2010,53415,new_sp,f,1524,India
IN,IND,2011,53958,new_sp,f,1524,India
IN,IND,2012,53975,new_sp,f,1524,India
NO,NOR,2000,3,new_sp,f,1524,Norway
NO,NOR,2001,6,new_sp,f,1524,Norway
NO,NOR,2002,3,new_sp,f,1524,Norway
NO,NOR,2003,4,new_sp,f,1524,Norway
NO,NOR,2004,3,new_sp,f,1524,Norway
NO,NOR,2005,4,new_sp,f,1524,Norway
NO,NOR,2006,5,new_sp,f,1524,Norway
NO,NOR,2007,4,new_sp,f,1524,Norway
NO,NOR,2008,1,new_sp,f,1524,Norway
NO,NOR,2009,2,new_sp,f,1524,Norway
NO,NOR,2010,5,new_sp,f,1524,Norway
NO,NOR,2011,14,new_sp,f,1524,Norway
NO,NOR,2012,2,new_sp,f,1524,Norway
AF,AFG,1997,36,new_sp,f,2534,Afghanistan
AF,AFG,1998,419,new_sp,f,2534,Afghanistan
AF,AFG,1999,160,new_sp,f,2534,Afghanistan
IN,IND,1995,169,new_sp,f,2534,India
IN,IND,1996,571,new_sp,f,2534,India
IN,IND,1997,799,new_sp,f,2534,India
IN,IND,1998,1121,new_sp,f,2534,India
IN,IND,1999,4848,new_sp,f,2534,India
NO,NOR,1995,7,new_sp,f,2534,Norway
NO,NOR,1996,10,new_sp,f,2534,Norway
NO,NOR,1997,4,new_sp,f,2534,Norway
NO,NOR,1998,2,new_sp,f,2534,Norway
NO,NOR,1999,2,new_sp,f,2534,Norway
IN,IND,2000,17287,new_sp,f,2534,India
NO,NOR,2000,1,new_sp,f,2534,Norway
AF,AFG,2000,565,new_sp,f,2534,Afghanistan
AF,AFG,2001,888,new_sp,f,2534,Afghanistan
AF,AFG,2002,1251,new_sp,f,2534,Afghanistan
AF,AFG,2003,1287,new_sp,f,2534,Afghanistan
AF,AFG,2004,1561,new_sp,f,2534,Afghanistan
AF,AFG,2005,1959,new_sp,f,2534,Afghanistan
AF,AFG,2006,2340,new_sp,f,2534,Afghanistan
AF,AFG,2007,2357,new_sp,f,2534,Afghanistan
AF,AFG,2008,2449,new_sp,f,2534,Afghanistan
AF,AFG,2009,2186,new_sp,f,2534,Afghanistan
AF,AFG,2010,2263,new_sp,f,2534,Afghanistan
AF,AFG,2011,2325,new_sp,f,2534,Afghanistan
AF,AFG,2012,2204,new_sp,f,2534,Afghanistan
IN,IND,2000,17287,new_sp,f,2534,India
IN,IND,2001,16743,new_sp,f,2534,India
IN,IND,2002,31946,new_sp,f,2534,India
IN,IND,2003,36317,new_sp,f,2534,India
IN,IND,2004,42808,new_sp,f,2534,India
IN,IND,2005,45629,new_sp,f,2534,India
IN,IND,2006,47420,new_sp,f,2534,India
IN,IND,2007,49519,new_sp,f,2534,India
IN,IND,2008,49887,new_sp,f,2534,India
IN,IND,2009,49747,new_sp,f,2534,India
IN,IND,2010,49425,new_sp,f,2534,India
IN,IND,2011,49227,new_sp,f,2534,India
IN,IND,2012,47511,new_sp,f,2534,India
NO,NOR,2000,1,new_sp,f,2534,Norway
NO,NOR,2001,9,new_sp,f,2534,Norway
NO,NOR,2002,5,new_sp,f,2534,Norway
NO,NOR,2003,9,new_sp,f,2534,Norway
NO,NOR,2004,8,new_sp,f,2534,Norway
NO,NOR,2005,7,new_sp,f,2534,Norway
NO,NOR,2006,5,new_sp,f,2534,Norway
NO,NOR,2007,2,new_sp,f,2534,Norway
NO,NOR,2008,6,new_sp,f,2534,Norway
NO,NOR,2009,5,new_sp,f,2534,Norway
NO,NOR,2010,7,new_sp,f,2534,Norway
NO,NOR,2011,7,new_sp,f,2534,Norway
NO,NOR,2012,8,new_sp,f,2534,Norway
